N;wide_area;narrow_area;wide_rel_error;narrow_rel_error;exact_area
100;1.26385;0.95;33.8091;0.580489;0.944517
600;1.11802;0.958333;18.3696;1.46277;0.944517
1100;0.804268;0.952273;14.8487;0.821112;0.944517
1600;0.850668;0.94375;9.93617;0.0812252;0.944517
2100;0.912009;0.95119;3.44177;0.706529;0.944517
2600;0.908626;0.939904;3.79995;0.488434;0.944517
3100;0.865565;0.93629;8.35902;0.871013;0.944517
3600;0.904679;0.930556;4.21783;1.47818;0.944517
4100;0.863117;0.952744;8.61816;0.870997;0.944517
4600;0.923583;0.941576;2.21641;0.311386;0.944517
5100;0.928348;0.936029;1.71185;0.898636;0.944517
5600;0.947888;0.932366;0.356839;1.28649;0.944517
6100;0.906848;0.955533;3.98816;1.16627;0.944517
6600;0.963354;0.944318;1.99436;0.0210694;0.944517
7100;0.969454;0.940845;2.64015;0.388782;0.944517
7600;0.973472;0.944408;3.06553;0.0115711;0.944517
8100;0.994997;0.942284;5.3445;0.236442;0.944517
8600;0.946192;0.936919;0.17731;0.804494;0.944517
9100;0.929459;0.944368;1.59431;0.015781;0.944517
9600;0.926621;0.941276;1.89476;0.343154;0.944517
10100;1.00588;0.945792;6.49698;0.134978;0.944517
10600;0.967607;0.940448;2.44457;0.43081;0.944517
11100;0.88198;0.951014;6.62108;0.687793;0.944517
11600;0.935316;0.950862;0.974154;0.671759;0.944517
12100;0.907915;0.947624;3.8752;0.328928;0.944517
12600;0.925126;0.942659;2.05303;0.196763;0.944517
13100;0.915048;0.942462;3.12;0.217609;0.944517
13600;0.957895;0.943199;1.41641;0.139612;0.944517
14100;0.934959;0.943883;1.01191;0.0671462;0.944517
14600;0.972192;0.937158;2.93009;0.779197;0.944517
15100;0.95996;0.944205;1.63494;0.0330209;0.944517
15600;0.95225;0.943029;0.818705;0.157577;0.944517
16100;0.938981;0.943789;0.586154;0.0771152;0.944517
16600;0.939981;0.941114;0.480243;0.360261;0.944517
17100;0.981289;0.942909;3.89318;0.170228;0.944517
17600;0.967773;0.940128;2.46223;0.464718;0.944517
18100;0.957153;0.951796;1.3378;0.770594;0.944517
18600;0.934559;0.948051;1.0543;0.374148;0.944517
19100;0.971174;0.942147;2.82231;0.250984;0.944517
19600;0.933007;0.94324;1.21862;0.135243;0.944517
20100;0.948009;0.947761;0.369641;0.343457;0.944517
20600;0.942932;0.947391;0.167805;0.304239;0.944517
21100;0.969428;0.941232;2.6374;0.347792;0.944517
21600;0.932134;0.939699;1.31101;0.510114;0.944517
22100;0.93876;0.945079;0.609586;0.0595013;0.944517
22600;0.944231;0.938717;0.0302876;0.61411;0.944517
23100;0.951149;0.946483;0.702167;0.208096;0.944517
23600;0.960246;0.943909;1.66527;0.064402;0.944517
