ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
100;30;14;9;6;4;2;1
200;64;31;22;15;11;7;5
300;101;42;32;23;22;16;12
400;137;69;48;37;28;20;15
500;167;76;56;43;43;34;26
600;215;149;74;51;50;38;31
700;235;112;91;118;152;69;54
800;273;154;125;130;69;75;70
900;309;150;121;94;73;71;60
1000;344;179;130;101;101;80;65
1100;432;246;139;148;111;84;73
1200;443;193;146;116;142;99;81
1300;681;236;168;142;134;102;85
1400;512;248;212;161;133;107;89
1500;638;279;215;170;138;114;96
1600;587;297;224;175;144;119;102
1700;881;333;241;191;156;157;134
1800;671;487;248;201;190;161;136
1900;715;344;299;259;181;282;156
2000;713;352;271;224;218;179;149
2100;750;468;908;318;262;189;159
2200;820;377;288;233;234;194;162
2300;873;379;297;267;246;205;174
2400;937;394;308;279;277;211;178
2500;920;440;377;337;343;218;185
2600;1043;437;347;294;272;227;193
2700;971;474;389;466;432;375;198
2800;1031;505;433;366;290;242;205
2900;1054;549;479;360;299;251;235
3000;1081;592;546;427;308;264;219
3100;1116;648;534;382;318;267;229
3200;1156;656;486;387;322;325;241
3300;1196;675;511;401;335;334;287
3400;1412;668;512;417;343;357;317
3500;1272;857;535;430;355;355;301
3600;1325;681;612;445;362;361;307
3700;1341;696;591;446;370;370;316
3800;1385;712;603;480;385;381;325
3900;1430;744;574;830;1043;975;791
4000;2090;1015;876;648;651;541;468
4100;1485;790;588;492;498;413;355
4200;1611;764;628;526;497;422;359
4300;1610;788;614;511;527;434;380
4400;1649;791;630;533;544;448;376
4500;1760;806;645;627;630;449;387
4600;1762;811;642;624;538;478;403
4700;1818;964;679;553;554;471;457
4800;2047;849;690;558;560;496;412
4900;1865;870;687;571;598;516;422
5000;1865;921;715;583;578;492;424
5100;1892;899;743;592;589;505;447
5200;1931;975;798;643;601;511;454
5300;2034;985;810;714;644;527;455
5400;2087;1003;888;740;619;530;471
5500;2124;1078;925;757;635;549;477
5600;2131;1083;956;817;641;548;477
5700;2157;1161;1027;783;672;565;493
5800;2170;1251;1030;791;669;655;500
5900;2239;1227;1003;812;676;597;511
6000;2262;1277;1000;832;720;590;519
6100;2286;1315;1008;853;724;603;530
6200;2371;1371;2121;1814;1576;1335;1152
6300;2485;1331;1111;845;717;635;543
6400;2409;1372;1049;871;761;628;551
6500;2454;1420;1080;878;784;766;644
6600;2503;1384;1084;904;750;749;653
