ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
100;35;16;11;8;8;8;12
200;74;37;28;22;21;22;30
300;120;67;55;44;40;36;44
400;150;83;64;55;52;53;69
500;192;99;79;69;69;68;76
600;232;114;94;84;83;82;100
700;271;146;125;105;103;100;125
800;412;183;143;121;113;121;157
900;519;219;185;175;232;184;207
1000;399;214;176;156;154;150;168
1100;452;232;190;194;251;221;207
1200;504;263;214;196;196;213;341
1300;525;361;326;230;221;215;255
1400;581;385;610;250;252;248;285
1500;620;361;329;327;244;253;313
1600;648;387;315;328;291;276;346
1700;698;409;381;296;300;282;299
1800;875;425;472;544;325;307;328
1900;880;498;459;348;350;364;352
2000;874;559;412;364;438;394;376
2100;925;547;412;367;368;364;406
2200;989;556;549;493;390;380;433
2300;1007;521;474;403;403;404;459
2400;1134;618;484;532;436;424;516
2500;1210;587;507;515;472;578;587
2600;1084;590;543;728;523;460;539
2700;1271;642;565;516;479;492;778
2800;1184;747;653;539;492;508;601
2900;1242;728;651;551;511;541;637
3000;1326;805;651;578;533;556;680
3100;1313;833;679;588;560;587;778
3200;1375;849;692;600;575;641;785
3300;1448;859;754;631;597;616;630
3400;1476;992;732;646;634;654;653
3500;1492;890;802;672;638;637;786
3600;1572;931;764;723;661;679;707
3700;1771;1089;794;709;688;674;735
3800;1646;961;805;719;741;697;763
3900;1731;1001;824;773;773;739;790
4000;4124;2867;1832;1026;1034;1012;1096
4100;2513;1467;1195;939;850;790;847
4200;1842;1051;928;805;832;787;916
4300;1883;1060;898;895;823;810;905
4400;1892;1094;930;839;893;845;943
4500;1963;1155;979;893;1110;864;961
4600;1997;1164;956;890;899;871;1005
4700;2101;1165;978;944;901;909;1052
4800;2145;1227;996;917;959;1517;2279
4900;2160;1198;1048;948;970;950;1106
5000;2187;1237;1039;953;989;967;1109
5100;2295;1243;1083;978;996;1005;1146
5200;2289;1324;1125;1038;1091;1014;1178
5300;2341;1367;1181;1076;1041;1047;1224
5400;2408;1373;1237;1137;1036;1108;1257
5500;2424;1573;1279;1159;1110;1094;1325
5600;2492;1544;1309;1159;1106;1109;1358
5700;2517;1520;1355;1176;1140;1164;1358
5800;2567;1591;1375;1218;1136;1228;1416
5900;2720;1611;1415;1277;1146;1238;1431
6000;2709;1657;1407;1296;1192;1242;1464
6100;2715;1721;1443;1262;1196;1244;1509
6200;2774;1759;1453;1281;1276;1270;1595
6300;5045;1780;1476;1342;1239;1369;1568
6400;2834;1773;1506;1319;1245;1374;1642
6500;2937;1887;1524;1400;1354;1291;1434
6600;2969;1841;1557;1389;1298;1347;1394
6700;3016;1904;2458;3033;2165;1403;1389
6800;3093;1882;1589;1418;1450;1346;1446
6900;3102;1967;1590;1561;1364;1417;1456
