ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
100;31;14;10;7;7;11;22
200;64;31;22;16;17;25;48
300;106;44;40;27;27;34;56
400;135;70;55;43;39;62;102
500;196;109;79;51;50;59;86
600;884;104;91;105;68;75;175
700;238;111;95;74;70;95;164
800;271;141;104;85;84;121;210
900;473;229;183;130;103;104;153
1000;366;165;124;107;108;119;181
1100;390;179;136;129;138;223;290
1200;670;398;155;150;141;166;266
1300;502;204;207;248;153;189;371
1400;506;255;210;174;163;283;489
1500;526;276;213;175;169;232;428
1600;559;296;224;184;183;257;513
1700;599;313;240;200;206;300;302
1800;734;318;251;213;259;247;381
1900;777;339;256;321;240;240;366
2000;721;351;273;234;236;259;537
2100;852;411;283;249;248;282;429
2200;908;598;433;390;421;461;603
2300;889;405;319;276;278;328;507
2400;904;396;327;319;292;349;541
2500;933;418;362;313;348;387;598
2600;1048;436;348;322;312;391;620
2700;1059;472;396;347;332;561;666
2800;1036;531;434;354;343;459;767
2900;1058;547;452;368;365;467;783
3000;1201;783;468;381;373;526;925
3100;1135;615;471;396;414;580;860
3200;1160;629;651;551;496;561;951
3300;1206;642;519;419;453;441;583
3400;1231;815;606;431;445;444;616
3500;1340;667;519;460;466;475;647
3600;1337;675;554;455;482;498;677
3700;1389;712;543;471;504;550;764
3800;1373;845;559;487;521;522;819
3900;1440;722;574;494;517;560;776
4000;2067;992;776;916;725;756;1097
4100;1521;762;588;527;541;591;853
4200;1532;776;622;544;547;600;912
4300;1685;770;610;574;588;628;922
4400;1637;804;630;562;640;674;1000
4500;1714;797;645;691;585;673;1006
4600;1701;799;662;593;614;694;1039
4700;1764;817;696;601;599;725;1113
4800;3742;1765;1442;1306;864;823;1136
4900;1816;876;688;644;657;812;1164
5000;1951;861;738;679;660;788;1393
5100;1888;872;705;683;661;822;1260
5200;1990;907;753;765;682;836;1370
5300;1971;951;802;722;726;865;1384
5400;2082;995;832;747;818;899;1419
5500;2048;1069;898;766;769;933;1446
5600;2071;1088;925;767;749;1063;1485
5700;2128;1213;1062;903;766;994;1539
5800;2174;1175;957;813;800;998;1632
5900;2235;1193;991;828;805;1067;1644
6000;2259;1255;979;873;807;1053;1779
6100;2261;1303;1027;835;870;1089;1808
6200;2298;1355;1001;869;888;1126;1834
6300;2406;1309;1174;863;869;1179;1852
6400;2411;1360;1031;880;915;1192;1953
6500;2441;1355;1041;904;921;970;1258
6600;2514;1355;1083;1047;926;937;1273
6700;2530;1377;1081;917;942;967;1278
6800;2537;1399;1085;989;976;960;1377
6900;2615;1395;1199;950;991;985;1359
7000;2639;1404;1137;1025;1000;1032;1396
7100;2749;1576;1128;1078;1061;1013;1490
